ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-7017489,Source1,2,2020-05-08T17:26:49.000+08:00,2020-05-08T17:56:49.000+08:00,35.5416,-97.60114,35.5416,-97.60114,0.0,At OK-74/OK-3-ALT/Lake Hefner Pky - Accident.,NW Expressway,Oklahoma City,Oklahoma,OK,73116-1518,US,US/Central,KPWA,2020-05-08T17:53:00.000+08:00,66.0,66.0,28.0,28.8,10.0,N,15.0,0.0,Fair,false,false,true,false,false,false,false,false,false,false,false,true,false,Day,Day,Day,Day
A-314261,Source2,2,2017-01-27T12:04:22.000+08:00,2017-01-27T12:34:01.000+08:00,38.664265,-121.250069,,,0.01,Accident on Madison Ave at Buena Vista Ave.,Buena Vista Ave,Fair Oaks,Sacramento,CA,95628,US,US/Pacific,KMHR,2017-01-27T11:50:00.000+08:00,50.0,,62.0,30.57,10.0,West,3.5,,Partly Cloudy,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-7760704,Source1,2,2019-07-18T15:58:44.000+08:00,2019-07-18T19:58:44.000+08:00,45.24918,-122.723304,45.24954,-122.72274099999998,0.037000000000000005,At S Lone Elder Rd - Accident.,Pacific Hwy,Aurora,Clackamas,OR,97002,US,US/Pacific,KUAO,2019-07-18T15:53:00.000+08:00,76.0,76.0,31.0,29.85,10.0,NW,7.0,0.0,Mostly Cloudy,false,false,false,false,false,false,false,false,true,false,false,false,false,Day,Day,Day,Day
A-1806342,Source2,2,2019-11-08T16:28:09.000+08:00,2019-11-08T16:57:58.000+08:00,42.728190999999995,-73.649139,,,0.0,Lane blocked due to accident on NY-2 Brunswick Rd at Kenworth Ave.,Brunswick Rd,Troy,Rensselaer,NY,12180-7037,US,US/Eastern,KALB,2019-11-08T16:51:00.000+08:00,32.0,22.0,40.0,29.9,10.0,NW,14.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-4668629,Source1,2,2022-03-20T18:10:00.000+08:00,2022-03-20T20:17:51.000+08:00,38.463678,-122.879514,38.464147,-122.880007,0.042,Accident on Guerneville Rd (Gravenstein Hwy/CA-116) from Covey Rd/Forestville St (Gravenstein Hwy/Front St/CA-116) to CA-116.,Gravenstein Hwy N,Forestville,Sonoma,CA,95436,US,US/Pacific,KSTS,2022-03-20T17:53:00.000+08:00,66.0,66.0,40.0,30.0,10.0,S,9.0,0.0,Partly Cloudy,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-1973109,Source2,2,2019-07-17T18:23:37.000+08:00,2019-07-17T19:29:24.000+08:00,36.118969,-95.85112,,,0.0,Accident on Garnett Rd at 31st St.,E 31st St,Tulsa,Tulsa,OK,74146-1708,US,US/Central,KTUL,2019-07-17T18:53:00.000+08:00,94.0,94.0,52.0,29.15,10.0,S,17.0,0.0,Fair,false,false,true,false,false,false,false,false,false,false,false,true,false,Day,Day,Day,Day
A-2680532,Source2,2,2018-06-30T02:18:33.000+08:00,2018-06-30T02:48:18.000+08:00,34.044178,-118.182304,,,0.0,Accident on Floral Dr at Record Ave.,N Record Ave,Los Angeles,Los Angeles,CA,90063-1837,US,US/Pacific,KCQT,2018-06-30T22:47:00.000+08:00,66.9,,79.0,29.96,10.0,Calm,,,Clear,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Night,Night
A-5357362,Source1,2,2023-01-31T07:24:00.000+08:00,2023-01-31T08:42:12.000+08:00,32.456672999999995,-93.720589,32.457337,-93.72209,0.099,Incident on ASHLEY near SOUTHFIELD RD Drive with caution.,Southfield Rd,Shreveport,Caddo,LA,71105-3629,US,US/Central,KBAD,2023-01-31T07:35:00.000+08:00,36.0,31.0,87.0,30.1,10.0,N,6.0,0.0,N/A Precipitation,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-2169742,Source2,2,2019-04-16T07:10:11.000+08:00,2019-04-16T07:57:02.000+08:00,43.07077,-75.333168,,,0.0,Accident on NY-12B Clinton Rd at Fawncrest Blvd.,Clinton Rd,New Hartford,Oneida,NY,13413-5326,US,US/Eastern,KRME,2019-04-16T06:53:00.000+08:00,31.0,25.0,82.0,29.49,10.0,NNW,6.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
A-170927,Source2,3,2016-11-03T06:28:36.000+08:00,2016-11-03T07:43:11.000+08:00,38.710907,-90.285759,,,0.01,Slow traffic and 3 left lane closed due to accident on I-70 Westbound at Exit 241B Lucas and Hunt Rd.,Lucas and Hunt Rd,Saint Louis,St. Louis County,MO,63121,US,US/Central,KSTL,2016-11-03T06:51:00.000+08:00,64.9,,87.0,30.13,6.0,West,5.8,,Overcast,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Night,Day
A-6292354,Source1,2,2021-10-22T07:22:30.000+08:00,2021-10-22T09:30:01.000+08:00,38.893456,-77.42914499999998,38.893628,-77.431513,0.128,Stationary traffic on US-50 W from Metrotech Dr to Vernon St due to accident.,Lee Jackson Memorial Hwy,Chantilly,Fairfax County,VA,20151-3202,US,US/Eastern,KIAD,2021-10-22T06:52:00.000+08:00,59.0,59.0,64.0,29.59,10.0,NW,9.0,0.0,Partly Cloudy,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Day,Day,Day
A-3089247,Source2,2,2018-01-26T07:21:16.000+08:00,2018-01-26T08:06:00.000+08:00,30.374471999999997,-97.529961,,,0.0,Accident on FM-973 at Old Manor Taylor Rd.,FM 973 N,Manor,Travis,TX,78653,US,US/Central,KEDC,2018-01-26T07:15:00.000+08:00,50.0,,82.0,30.24,10.0,Calm,,,Overcast,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Day,Day,Day
A-5734222,Source1,2,2021-04-17T05:18:30.000+08:00,2021-04-17T16:53:50.000+08:00,39.86255,-75.033626,39.8599,-75.031832,0.206,Slow traffic on US-30 E - County Hwy-669 - US-30 W from Warwick Rd S / Charman Ave to Ashland Ave due to accident.,N Warwick Rd,Magnolia,Camden,NJ,08049-1325,US,US/Eastern,KPHL,2021-04-17T04:54:00.000+08:00,46.0,41.0,63.0,29.76,10.0,WNW,10.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Day,Day
